Date,Value
2010-12-31,8236.082
2009-12-31,6523.593
2008-12-31,3927.357
2007-12-31,1991.181
2006-12-31,1338.455
2005-12-31,1015.759
2004-12-31,733.4
2003-12-31,583.053
2002-12-31,359.366
2001-12-31,645.392
2000-12-31,781.071
1999-12-31,832.409
1998-12-31,1056.096
1997-12-31,1114.768
1996-12-31,1199.109
1995-12-31,1268.782
1994-12-31,1320.12
1993-12-31,1375.125
1992-12-31,1426.463
1991-12-31,2493.56
1990-12-31,2676.91
1989-12-31,2775.919
1988-12-31,2867.594
1987-12-31,3124.284
1986-12-31,3142.619
1985-12-31,3509.319
1984-12-31,2830.924
1983-12-31,2522.896
1982-12-31,2101.191
1981-12-31,1983.847
1980-12-31,1760.16
1979-12-31,2240.537
1978-12-31,2159.863
1977-12-31,2390.884
1976-12-31,1987.514
1975-12-31,2126.86
1974-12-31,1917.841
1973-12-31,1639.149
1972-12-31,1532.806
1971-12-31,1895.839
1970-12-31,1672.152
1969-12-31,942.419
1968-12-31,1224.778
1967-12-31,1283.45
1966-12-31,1092.766
1965-12-31,1008.425
1964-12-31,839.743
1963-12-31,707.731
1962-12-31,689.396
1961-12-31,491.378
1960-12-31,414.371
