Date,Value
2010-12-31,30417.765
2009-12-31,27836.197
2008-12-31,26596.751
2007-12-31,25151.953
2006-12-31,22266.024
2005-12-31,19156.408
2004-12-31,18793.375
2003-12-31,9064.824
2002-12-31,12665.818
2001-12-31,9732.218
2000-12-31,9541.534
1999-12-31,9156.499
1998-12-31,7308.331
1997-12-31,7381.671
1996-12-31,10491.287
1995-12-31,11012.001
1994-12-31,3890.687
1993-12-31,5801.194
1992-12-31,4418.735
1991-12-31,4367.397
1990-12-31,4429.736
1989-12-31,5009.122
1988-12-31,5130.133
1987-12-31,5815.862
1986-12-31,4660.757
1985-12-31,4701.094
1984-12-31,5009.122
1983-12-31,5115.465
1982-12-31,4649.756
1981-12-31,5280.48
1980-12-31,5346.486
1979-12-31,5504.167
1978-12-31,5412.492
1977-12-31,3534.988
1976-12-31,3285.632
1975-12-31,4415.068
1974-12-31,4873.443
1973-12-31,4880.777
1972-12-31,4506.743
1971-12-31,3410.31
1970-12-31,3582.659
1969-12-31,2786.92
1968-12-31,1672.152
1967-12-31,993.757
1966-12-31,1554.808
1965-12-31,1188.108
1964-12-31,1224.778
1963-12-31,1151.438
1962-12-31,1180.774
1961-12-31,454.708
1960-12-31,550.05
