Date,Value
2010-12-31,373080.58
2009-12-31,395093.581
2008-12-31,387634.903
2007-12-31,377235.291
2006-12-31,371214.077
2005-12-31,362684.635
2004-12-31,348757.369
2003-12-31,346476.495
2002-12-31,341001.664
2001-12-31,324859.53
2000-12-31,329604.628
1999-12-31,325523.257
1998-12-31,346912.868
1997-12-31,333623.66
1996-12-31,329259.93
1995-12-31,307433.946
1994-12-31,303957.63
1993-12-31,302116.796
1992-12-31,294456.433
1991-12-31,281530.258
1990-12-31,287331.452
1989-12-31,277771.583
1988-12-31,261145.405
1987-12-31,256106.947
1986-12-31,239964.813
1985-12-31,241229.928
1984-12-31,236594.84
1983-12-31,225003.453
1982-12-31,234119.615
1981-12-31,230360.94
1980-12-31,220746.066
1979-12-31,205069.641
1978-12-31,202015.03
1977-12-31,187787.07
1976-12-31,174244.839
1975-12-31,175883.988
1974-12-31,172356.334
1973-12-31,170992.21
1972-12-31,157486.649
1971-12-31,152774.554
1970-12-31,147618.752
1969-12-31,142257.598
1968-12-31,134622.904
1967-12-31,129265.417
1966-12-31,120332.605
1965-12-31,120966.996
1964-12-31,108979.573
1963-12-31,101029.517
1962-12-31,94912.961
1961-12-31,90589.568
1960-12-31,88202.351
