Date,Value
2010-12-31,56152.771
2009-12-31,52328.09
2008-12-31,46435.221
2007-12-31,48466.739
2006-12-31,48136.709
2005-12-31,37553.747
2004-12-31,39750.28
2003-12-31,33883.08
2002-12-31,33707.064
2001-12-31,32456.617
2000-12-31,27869.2
1999-12-31,25236.294
1998-12-31,24048.186
1997-12-31,25063.945
1996-12-31,24029.851
1995-12-31,22816.074
1994-12-31,18969.391
1993-12-31,17407.249
1992-12-31,17748.28
1991-12-31,15940.449
1990-12-31,15533.412
1989-12-31,13454.223
1988-12-31,13545.898
1987-12-31,11862.745
1986-12-31,11463.042
1985-12-31,10234.597
1984-12-31,9123.496
1983-12-31,8236.082
1982-12-31,8599.115
1981-12-31,7931.721
1980-12-31,7638.361
1979-12-31,6648.271
1978-12-31,6017.547
1977-12-31,5812.195
1976-12-31,5570.173
1975-12-31,4869.776
1974-12-31,4660.757
1973-12-31,4554.414
1972-12-31,3509.319
