Date,Value
2010-12-31,24202.2
2009-12-31,24169.197
2008-12-31,24301.209
2007-12-31,22398.036
2006-12-31,19497.439
2005-12-31,19207.746
2004-12-31,17509.925
2003-12-31,16468.497
2002-12-31,15698.427
2001-12-31,13927.266
2000-12-31,18643.028
1999-12-31,18019.638
1998-12-31,18404.673
1997-12-31,17319.241
1996-12-31,15621.42
1995-12-31,16021.123
1994-12-31,15254.72
1993-12-31,15141.043
1992-12-31,10590.296
1991-12-31,11503.379
1990-12-31,11884.747
1989-12-31,11738.067
1988-12-31,12163.439
1987-12-31,11430.039
1986-12-31,11012.001
1985-12-31,10194.26
1984-12-31,9207.837
1983-12-31,8228.748
1982-12-31,9838.561
1981-12-31,8525.775
1980-12-31,7887.717
1979-12-31,8133.406
1978-12-31,7766.706
1977-12-31,7469.679
1976-12-31,6574.931
1975-12-31,5753.523
1974-12-31,5405.158
1973-12-31,5522.502
1972-12-31,3681.668
1971-12-31,3039.943
1970-12-31,2592.569
1969-12-31,1272.449
1968-12-31,1103.767
1967-12-31,1004.758
1966-12-31,649.059
1965-12-31,1228.445
1964-12-31,1598.812
1963-12-31,1195.442
1962-12-31,1591.478
1961-12-31,1771.161
1960-12-31,575.719
