Date,Value
2010-12-31,421.705
2009-12-31,414.371
2008-12-31,407.037
2007-12-31,425.372
2006-12-31,407.037
2005-12-31,396.036
2004-12-31,381.368
2003-12-31,374.034
2002-12-31,359.366
2001-12-31,711.398
2000-12-31,689.396
1999-12-31,601.388
1998-12-31,370.367
1997-12-31,388.702
1996-12-31,308.028
1995-12-31,377.701
1994-12-31,374.034
1993-12-31,377.701
1992-12-31,355.699
1991-12-31,359.366
1990-12-31,311.695
1989-12-31,300.694
1988-12-31,249.356
1987-12-31,227.354
1986-12-31,205.352
1985-12-31,190.684
1984-12-31,172.349
1983-12-31,172.349
1982-12-31,172.349
1981-12-31,183.35
1980-12-31,190.684
1979-12-31,209.019
1978-12-31,216.353
1977-12-31,198.018
1976-12-31,176.016
1975-12-31,176.016
1974-12-31,154.014
1973-12-31,146.68
1972-12-31,157.681
1971-12-31,143.013
1970-12-31,121.011
1969-12-31,135.679
1968-12-31,102.676
1967-12-31,121.011
1966-12-31,80.674
1965-12-31,84.341
1964-12-31,84.341
1963-12-31,62.339
1962-12-31,69.673
1961-12-31,36.67
1960-12-31,44.004
