Date,Value
2010-12-31,38756.523
2009-12-31,41598.448
2008-12-31,40392.005
2007-12-31,38019.456
2006-12-31,41877.14
2005-12-31,41374.761
2004-12-31,40392.005
2003-12-31,40204.988
2002-12-31,40718.368
2001-12-31,42962.572
2000-12-31,39049.883
1999-12-31,40700.033
1998-12-31,41829.469
1997-12-31,41466.436
1996-12-31,39929.963
1995-12-31,39233.233
1994-12-31,41319.756
1993-12-31,40762.372
1992-12-31,43065.248
1991-12-31,41998.151
1990-12-31,42863.563
1989-12-31,39467.921
1988-12-31,40711.034
1987-12-31,40252.659
1986-12-31,42295.178
1985-12-31,39827.287
1984-12-31,39174.561
1983-12-31,40069.309
1982-12-31,36629.663
1981-12-31,38859.199
1980-12-31,40538.685
1979-12-31,39911.628
1978-12-31,42218.171
1977-12-31,41085.068
1976-12-31,40483.68
1975-12-31,39097.554
1974-12-31,41481.104
1973-12-31,46262.872
1972-12-31,42973.573
1971-12-31,41943.146
1970-12-31,40296.663
1969-12-31,38096.463
1968-12-31,36028.275
1967-12-31,32559.293
1966-12-31,31525.199
1965-12-31,30370.094
1964-12-31,28166.227
1963-12-31,29101.312
1962-12-31,24150.862
1961-12-31,20388.52
1960-12-31,19523.108
