Date,Value
2010-12-31,7234.991
2009-12-31,6673.94
2008-12-31,5544.504
2007-12-31,5834.197
2006-12-31,3828.348
2005-12-31,3696.336
2004-12-31,3956.693
2003-12-31,3795.345
2002-12-31,3417.644
2001-12-31,3421.311
2000-12-31,3432.312
1999-12-31,3080.28
1998-12-31,3208.625
1997-12-31,3215.959
1996-12-31,4602.085
1995-12-31,4363.73
1994-12-31,3817.347
1993-12-31,3898.021
1992-12-31,3795.345
1991-12-31,1111.101
1990-12-31,1738.158
1989-12-31,7638.361
1988-12-31,2211.201
1987-12-31,1855.502
1986-12-31,2005.849
1985-12-31,6475.922
1984-12-31,6057.884
1983-12-31,6589.599
1982-12-31,6343.91
1981-12-31,5342.819
1980-12-31,3905.355
1979-12-31,1829.833
1978-12-31,2002.182
1977-12-31,1565.809
1976-12-31,1092.766
1975-12-31,1162.439
1974-12-31,975.422
1973-12-31,898.415
1972-12-31,861.745
1971-12-31,810.407
1970-12-31,638.058
1969-12-31,572.052
1968-12-31,506.046
1967-12-31,458.375
1966-12-31,344.698
1965-12-31,311.695
1964-12-31,337.364
1963-12-31,300.694
1962-12-31,289.693
1961-12-31,282.359
1960-12-31,271.358
