Date,Value
2010-12-31,75679.546
2009-12-31,70850.107
2008-12-31,66438.706
2007-12-31,63439.1
2006-12-31,62940.388
2005-12-31,60945.54
2004-12-31,55071.006
2003-12-31,57421.553
2002-12-31,55661.393
2001-12-31,56273.782
2000-12-31,57923.932
1999-12-31,56512.137
1998-12-31,65976.664
1997-12-31,64909.567
1996-12-31,60527.502
1995-12-31,59614.419
1994-12-31,67571.809
1993-12-31,64022.153
1992-12-31,62049.307
1991-12-31,57120.859
1990-12-31,57337.212
1989-12-31,53233.839
1988-12-31,52445.434
1987-12-31,50487.256
1986-12-31,49101.13
1985-12-31,48378.731
1984-12-31,48980.119
1983-12-31,49449.495
1982-12-31,45914.507
1981-12-31,44458.708
1980-12-31,44356.032
1979-12-31,44433.039
1978-12-31,41682.789
1977-12-31,39354.244
1976-12-31,38089.129
1975-12-31,35896.263
1974-12-31,36479.316
1973-12-31,33699.73
1972-12-31,31481.195
1971-12-31,30326.09
1970-12-31,28404.582
1969-12-31,28048.883
1968-12-31,26604.085
1967-12-31,24715.58
1966-12-31,23501.803
1965-12-31,22885.747
1964-12-31,21708.64
1963-12-31,21257.599
1962-12-31,19442.434
1961-12-31,18217.656
1960-12-31,16409.825
