Date,Value
2010-12-31,139.346
2009-12-31,124.678
2008-12-31,124.678
2007-12-31,121.011
2006-12-31,121.011
2005-12-31,110.01
2004-12-31,102.676
2003-12-31,99.009
2002-12-31,91.675
2001-12-31,88.008
2000-12-31,84.341
1999-12-31,80.674
1998-12-31,73.34
1997-12-31,66.006
1996-12-31,66.006
1995-12-31,80.674
1994-12-31,77.007
1993-12-31,77.007
1992-12-31,77.007
1991-12-31,77.007
1990-12-31,77.007
1989-12-31,62.339
1988-12-31,62.339
1987-12-31,58.672
1986-12-31,51.338
1985-12-31,55.005
1984-12-31,47.671
1983-12-31,47.671
1982-12-31,47.671
1981-12-31,47.671
1980-12-31,47.671
1979-12-31,22.002
1978-12-31,29.336
1977-12-31,40.337
1976-12-31,40.337
1975-12-31,33.003
1974-12-31,29.336
1973-12-31,29.336
1972-12-31,29.336
1971-12-31,29.336
1970-12-31,29.336
1969-12-31,18.335
1968-12-31,18.335
1967-12-31,18.335
1966-12-31,18.335
1965-12-31,14.668
1964-12-31,11.001
1963-12-31,11.001
1962-12-31,11.001
1961-12-31,11.001
1960-12-31,11.001
