Date,Value
2010-12-31,7708.034
2009-12-31,8140.74
2008-12-31,8555.111
2007-12-31,8195.745
2006-12-31,7788.708
2005-12-31,7502.682
2004-12-31,7334.0
2003-12-31,7748.371
2002-12-31,7022.305
2001-12-31,6846.289
2000-12-31,6849.956
1999-12-31,6475.922
1998-12-31,6391.581
1997-12-31,5885.535
1996-12-31,5764.524
1995-12-31,5551.838
1994-12-31,5636.179
1993-12-31,5485.832
1992-12-31,5276.813
1991-12-31,4741.431
1990-12-31,4653.423
1989-12-31,4341.728
1988-12-31,4129.042
1987-12-31,4121.708
1986-12-31,3545.989
1985-12-31,3102.282
1984-12-31,3182.956
1983-12-31,3098.615
1982-12-31,3102.282
1981-12-31,3047.277
1980-12-31,3208.625
1979-12-31,3003.273
1978-12-31,2808.922
1977-12-31,2669.576
1976-12-31,2464.224
1975-12-31,1980.18
1974-12-31,1925.175
1973-12-31,2500.894
1972-12-31,2405.552
1971-12-31,1884.838
1970-12-31,1705.155
1969-12-31,1672.152
1968-12-31,1624.481
1967-12-31,1364.124
1966-12-31,1243.113
1965-12-31,1151.438
1964-12-31,1001.091
1963-12-31,986.423
1962-12-31,905.749
1961-12-31,865.412
1960-12-31,887.414
