Date,Value
2010-12-31,135.679
2009-12-31,128.345
2008-12-31,128.345
2007-12-31,150.347
2006-12-31,110.01
2005-12-31,113.677
2004-12-31,110.01
2003-12-31,113.677
2002-12-31,102.676
2001-12-31,113.677
2000-12-31,102.676
1999-12-31,80.674
1998-12-31,77.007
1997-12-31,80.674
1996-12-31,73.34
1995-12-31,80.674
1994-12-31,69.673
1993-12-31,62.339
1992-12-31,58.672
1991-12-31,58.672
1990-12-31,58.672
1989-12-31,58.672
1988-12-31,55.005
1987-12-31,47.671
1986-12-31,47.671
1985-12-31,47.671
1984-12-31,44.004
1983-12-31,40.337
1982-12-31,40.337
1981-12-31,36.67
1980-12-31,36.67
1979-12-31,33.003
1978-12-31,25.669
1977-12-31,25.669
1976-12-31,29.336
1975-12-31,29.336
1974-12-31,29.336
1973-12-31,25.669
1972-12-31,25.669
1971-12-31,25.669
1970-12-31,25.669
1969-12-31,18.335
1968-12-31,22.002
1967-12-31,22.002
1966-12-31,14.668
1965-12-31,14.668
1964-12-31,14.668
1963-12-31,14.668
1962-12-31,11.001
1961-12-31,11.001
1960-12-31,11.001
